relative time [s],product 1 [mmol/l],product 2 [mmol/l],starting material [mmol/l]
0.0,202.66416972673377,,243.12639735883374
902.0,225.40554677457018,,
1802.0,250.34284593982497,,
2705.0,270.0864313522914,,
3604.0,274.6892101577222,,
4506.0,277.4322620817434,,
5406.0,287.6810927758205,,
6310.0,502.55777821027186,93.62544256282386,
7210.0,481.56827369579895,85.91052677980255,
8112.0,496.7627275943982,86.57414800482213,
9012.0,513.1432875614132,88.93505150296286,
9914.0,485.21996267030784,81.14543213194105,
10816.0,495.7140925116171,82.89146784435722,0.19171335727087865
11717.0,508.7693527228321,85.68341346912987,
12619.0,492.67524677626915,81.54878387806144,
13521.0,448.77797745326046,57.93355182988204,0.16965208072463986
14423.0,481.8871666043568,66.52228610447898,0.15481880299315753
15325.0,486.5425865964661,68.01299979822002,0.14331223868166726
16227.0,522.3918175888001,88.51281346291348,
17131.0,387.0493217696806,45.94911495081903,0.12052367683395629
18032.0,487.547261381932,80.87368174312695,
18935.0,516.076930321944,87.63130520478262,
19836.0,506.08023741243346,83.51928778256533,
20736.0,520.3077096665074,88.92584660380776,
21638.0,519.6296225248918,89.17701050793264,
22540.0,519.120261656428,88.92877261593614,
23443.0,514.5684633693365,88.20260091628352,
24346.0,512.9346514299281,87.80444266651183,
25247.0,505.9977199057837,86.47485849766315,
26149.0,488.6843727039107,83.17891080601265,
27051.0,502.023964199595,86.04283341183167,
27954.0,492.6501740156666,84.94656830991927,
28858.0,488.56008552505597,83.47319074265826,5.365613280345353
29759.0,374.119817928048,65.67764866610909,149.9021443710986
30663.0,212.56040674444355,43.911049493478686,331.36628307400656
31564.0,143.49156835512696,25.374150729523315,422.24351812367195
32468.0,80.47194779336878,20.303541578534723,505.1638201790611
33367.0,66.11367115851941,17.72073447068817,539.391165949943
